"Juventus,,,,,Inter,,,,,Napoli,,,,,Lazio,,,,,Milan,,,,,Roma,,,,,Atalanta,,,,,Fiorentina,,,,,"
"W. Szczęsny,GK,31,86,,S. Handanovič,GK,36,85,,D. Ospina,GK,32,78,,T. Strakosha,GK,26,79,,M. Maignan,GK,25,85,,Rui Patrício,GK,33,82,,J. Musso,GK,27,81,,P. Terracciano,GK,31,72,,"
"J. Cuadrado,RB RM,33,83,,M. Škriniar,CB,26,86,,G. Di Lorenzo,RB,27,81,,A. Marušić,RB RWB CB,28,79,,D. Calabria,RB,24,79,,G. Mancini,CB CDM,25,80,,Rafael Tolói,CB,30,81,,Odriozola,RB,25,78,,"
"M. de Ligt,CB,21,85,,S. de Vrij,CB,29,85,,A. Rrahmani,CB,27,79,,Luiz Felipe,CB,24,79,,F. Tomori,CB,23,82,,C. Smalling,CB,31,78,,M. Demiral,CB,23,77,,N. Milenković,CB RB,23,77,,"
"G. Chiellini,CB,36,85,,A. Bastoni,CB,22,82,,K. Koulibaly,CB,30,86,,F. Acerbi,CB,33,83,,A. Romagnoli,CB,26,82,,Ibañez,CB LB,22,78,,B. Djimsiti,CB,28,79,,L. Martínez Quarta,CB,25,76,,"
"Alex Sandro,LB LM,30,81,,M. Brozović,CDM,28,84,,Mário Rui,LB,30,77,,E. Hysaj,LB RB,27,76,,T. Hernández,LB,23,84,,Sérgio Oliveira,CM,29,80,,H. Hateboer,RWB RB RM,27,81,,C. Biraghi,LB LWB LM,28,77,,"
"W. McKennie,CM RM LM,22,78,,D. Dumfries,RWB RB RM,25,81,,A. Zambo Anguissa,CM CDM,25,78,,D. Cataldi,CDM CM,26,76,,S. Tonali,CDM CM,21,81,,R. Karsdorp,RWB RM RB,26,80,,M. de Roon,CDM CM,30,81,,G. Bonaventura,CM CAM,31,78,,"
"M. Locatelli,CDM CM,23,82,,N. Barella,CM,24,85,,Fabián,CM CDM,25,82,,S. Milinković-Savić,CM CDM CAM,26,85,,F. Kessié,CDM CM,24,84,,L. Pellegrini,CAM CM CDM,25,83,,R. Freuler,CM,29,80,,L. Torreira,CDM CM,25,79,,"
"A. Rabiot,CM LM,26,81,,H. Çalhanoğlu,CAM LM CM,27,83,,P. Zieliński,CM CAM,27,82,,Luis Alberto,CAM CM CF,28,83,,Junior Messias,RW CAM CF,30,78,,H. Mkhitaryan,LW LM CM,32,81,,D. Zappacosta,RWB RM LM,29,79,,A. Duncan,CM CDM,28,74,,"
"P. Dybala,CF RW,27,87,,I. Perišić,LM LWB,32,81,,M. Politano,RW RM,27,81,,Pedro,LW CF RW,33,78,,Rafael Leão,LW ST LM,22,81,,N. Zalewski,LM,19,67,,R. Malinovskyi,CF CM,28,82,,N. González,LW ST,23,78,,"
"Morata,ST,28,81,,E. Džeko,ST,35,84,,V. Osimhen,ST,22,81,,C. Immobile,ST,31,86,,Brahim,CAM LW LM,21,78,,N. Zaniolo,CF RW RM,21,79,,M. Pašalić,CAM CF CM,26,80,,K. Piątek,ST,26,75,,"
"D. Vlahović,ST,21,83,,L. Martínez,ST,23,85,,L. Insigne,LW CF LM,30,86,,M. Zaccagni,LW CF,26,78,,O. Giroud,ST,34,80,,T. Abraham,ST,23,80,,D. Zapata,ST,30,84,,R. Sottil,LW LM RW,22,74,,"
"M. Kean,ST,21,79,,A. Sánchez,CF ST,32,79,,D. Mertens,CF ST CAM,34,84,,Felipe Anderson,RW RM CAM,28,79,,Z. Ibrahimović,ST,39,83,,S. El Shaarawy,LW LM,28,78,,L. Muriel,ST,30,82,,Arthur Cabral,ST,23,77,,"
"D. Zakaria,CDM CB,24,81,,A. Vidal,CM,34,81,,H. Lozano,RW LW,25,81,,Lucas Leiva,CDM,34,79,,A. Rebić,LW ST LM,27,82,,Carles Pérez,RW CF,23,75,,J. Boga,LW LM,24,77,,R. Saponara,LW CF,29,75,,"
"Arthur,CM,24,81,,M. Vecino,CM CDM,29,78,,A. Petagna,ST,26,76,,J. Akpa Akpro,CM,28,75,,A. Saelemaekers,RW RM,22,77,,E. Shomurodov,ST LW RW,26,73,,T. Koopmeiners,CM CDM CB,23,79,,José Callejón,RM RW,34,78,,"
"L. Bonucci,CB,34,85,,M. Darmian,RWB RB,31,79,,S. Lobotka,CDM CM,26,78,,T. Bašić,CM CDM,24,75,,I. Bennacer,CDM CM,23,80,,J. Veretout,CDM CM,28,80,,M. Pessina,CAM CM CF,24,78,,J. Ikoné,RM ST,23,78,,"
"M. De Sciglio,RB LB,28,77,,D. D'Ambrosio,CB RB,32,78,,E. Elmas,CM,21,76,,M. Lazzari,RB RWB RM,27,79,,R. Krunić,CM CAM,27,76,,E. Darboe,CDM,20,68,,J. Palomino,CB,31,77,,G. Castrovilli,CM,24,77,,"
"L. Pellegrini,LB,22,74,,F. Dimarco,LWB LB LM,23,77,,Juan Jesus,CB LB,30,74,,Patric,CB RB RM,28,74,,F. Ballo-Touré,LB LM,24,72,,M. Viña,LB LM,23,76,,J. Mæhle,RWB LM RM,24,77,,Igor,CB LB,23,69,,"
"M. Perin,GK,28,80,,I. Radu,GK,24,75,,A. Meret,GK,24,78,,Pepe Reina,GK,38,78,,C. Tătărușanu,GK,35,76,,Daniel Fuzato,GK,23,68,,M. Sportiello,GK,29,76,,B. Drągowski,GK,23,76,,"
"Danilo,RB LB CB,29,80,,F. Caicedo,ST CF,32,76,,D. Demme,CDM CM,29,78,,Jovane Cabral,LW RW,23,77,,A. Florenzi,RB RWB,30,79,,F. Afena-Gyan,ST LW,18,68,,V. Mihăilă,LW,21,70,,S. Amrabat,CDM CM,24,76,,"
"D. Rugani,CB,26,77,,J. Correa,CF ST,26,81,,F. Ghoulam,LB,30,76,,Ș. Radu,CB,34,76,,D. Maldini,CAM,19,63,,M. Kumbulla,CB,21,74,,A. Miranchuk,CAM CF,25,78,,L. Venuti,RB RWB RM,26,71,,"
"Kaio Jorge,ST,19,69,,A. Ranocchia,CB,33,74,,K. Malcuit,RB,29,74,,Raúl Moro,LW CF,18,62,,P. Kalulu,RB CB,21,72,,B. Cristante,CDM CM CB,26,79,,F. Rossi,GK,30,60,,A. Terzić,LB,21,65,,"
"M. Soulé,RW,18,65,,R. Gagliardini,CDM CM,27,77,,A. Tuanzebe,CB,23,74,,Jorge Silva,CB,22,63,,T. Bakayoko,CDM CM,26,77,,E. Bove,CM,19,65,,G. Pezzella,LWB LB LM,23,73,,M. Nastasić,CB,28,74,,"
"C. Pinsoglio,GK,31,72,,A. Kolarov,LWB LB CB,35,77,,A. Ounas,RW ST RM,24,73,,André Anderson,CF CAM ST,21,64,,M. Gabbia,CB,21,69,,A. Diawara,CDM CM,23,74,,G. Scalvini,CB,17,64,,Y. Maleh,CM,22,71,,"
"K. De Winter,RB CB,19,64,,A. Cordaz,GK,38,72,,S. Luperto,CB,24,71,,L. Romero,CAM RW LW,16,66,,Samu Castillejo,RW RM,26,75,,L. Spinazzola,LB LWB LM,28,83,,J. Iličić,CF ST,33,82,,A. Rosati,GK,38,69,,"
"F. Chiesa,RW LW RM,23,84,,R. Gosens,LWB LB LM,26,83,,A. Milik,ST,27,79,,P. Dziczek,CDM,23,68,,S. Kjær,CB,32,84,,A. Maitland-Niles,RWB RM RB,23,76,,T. De Nipoti,CF RW,17,60,,A. Kokorin,ST RW,30,74,,"
"F. Bernardeschi,LM RM CAM,27,79,,M. Satriano,ST,20,69,,,,,,,M. Adamonis,GK,24,61,,L. Stanga,CB,19,60,,F. Tripi,CB CDM,19,60,,G. Cittadini,CB,19,60,,L. Munteanu,ST,19,61,,"
"R. Capellini,CB CDM,21,63,,D. Males,RM ST CAM,20,63,,,,,,,D. Vavro,CB,25,71,,A. Mirante,GK,37,74,,F. Missori,RB,17,60,,A. Sidibe,CM,19,61,,L. Ranieri,LB LWB CB,22,65,,"
"R. Drăgușin,CB RB,19,67,,S. Esposito,ST CAM,18,68,,,,,,,S. Kiyine,CM LM RM,23,68,,M. Lazetić,ST,17,65,,P. Boer,GK,19,56,,M. Cissé,ST,17,63,,S. Żurkowski,CM CF,23,73,,"
"G. Frabotta,LWB LB LM,22,70,,L. Agoumé,CDM CM,19,71,,,,,,,M. Fares,LM LB LW,25,72,,N. Michelis,CB,20,63,,C. Volpato,CAM,17,63,,Rodrigo Guth,CB,20,65,,C. Kouamé,ST LW,23,74,,"
"N. Rovella,CM CDM,19,72,,E. Salcedo,CF ST,19,69,,,,,,,V. Muriqi,ST,27,74,,T. Pobega,CM,21,74,,D. Keramitsis,CB,17,62,,M. Ruggeri,LM LB,18,65,,F. Chiesa,RW LW RM,23,84,,"
"P. Gozzi,LB CB,20,64,,Z. Vanheusden,CB,21,72,,,,,,,Jony,LM,29,75,,Y. Adli,CM CAM,20,76,,A. Riccardi,CM CAM,20,61,,M. Lovato,CB,21,73,,J. Rasmussen,CB,24,74,,"
"D. Kulusevski,RW CF,21,80,,A. Pinamonti,ST,22,72,,,,,,,G. Escalante,CDM CM,28,76,,Léo Duarte,CB,24,71,,D. Santon,RWB RB,30,72,,S. Muratore,CM,23,63,,E. Pulgar,CDM CM,27,75,,"
"M. Ihattaren,CAM RW CM,19,73,,S. Sensi,CM CDM,25,79,,,,,,,J. Correa,CF ST,26,81,,J. Hauge,LM RM,21,75,,R. Providence,LW RW ST,19,67,,B. Šutalo,CB,21,72,,M. Benassi,CM CF,26,72,,"
"A. Marqués,ST,20,62,,Dalbert,LM LB,27,70,,,,,,,R. Durmisi,LB LWB LM,27,71,,M. Caldara,CB,27,76,,R. Calafiori,LB LM,19,68,,E. Colley,CF,21,67,,,,,,,"
"M. Demiral,CB,23,77,,V. Lazaro,RM RWB RB,25,77,,,,,,,D. Anderson,RM LM,26,65,,,,,,,Gonzalo Villar,CM CDM,23,74,,N. Zortea,RB RM RWB,22,64,,,,,,,"
"F. Delli Carri,CB,22,59,,,,,,,,,,,,,,,,,,,,,,B. Reynolds,RB RM,20,66,,R. Piccoli,ST,20,68,,,,,,,"
"G. Kastanos,CAM CM,23,67,,,,,,,,,,,,,,,,,,,,,,W. Bianda,CB,21,62,,S. Lammers,ST,24,72,,,,,,,"
"G. Vrioni,ST,22,67,,,,,,,,,,,,,,,,,,,,,,J. Kluivert,LM RM,22,75,,A. Reca,LM LB,26,70,,,,,,,"
"M. Pjaca,CF CAM RW,26,75,,,,,,,,,,,,,,,,,,,,,,C. Ünder,RM RW,23,78,,C. Romero,CB,23,82,,,,,,,"
"R. Mandragora,CM CDM,24,75,,,,,,,,,,,,,,,,,,,,,,A. Ćorić,CAM CM,24,69,,V. Kovalenko,CAM CM,25,73,,,,,,,"
"A. Ramsey,CM CAM LM,30,77,,,,,,,,,,,,,,,,,,,,,,R. Olsen,GK,31,75,,N. Haas,CM CDM,25,70,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,A. Florenzi,RB RWB,30,79,,R. Gosens,LWB LB LM,26,83,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. Gollini,GK,26,80,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
